"year","state","total_tonnage","state_ansi","price_overall","price_fresh","price_processing","production_dollars_total","production_cwt_total","production_dollars_fresh","production_dollars_processing","production_cwt_utilized","production_cwt_processing","production_cwt_fresh","production_cwt_fresh_inferred","production_cwt_processing_inferred","production_cwt_total_inferred","production_tons_total"
2000,"CALIFORNIA",530774.958,"06",50.9,61.4,22.1,800334000,15732000,707205000,93129000,NA,4214000,11518000,11517996.742671,4213981.90045249,15723654.2239686,786600
2000,"FLORIDA",69692.592,"12",76,76,NA,167580000,2205000,167580000,NA,NA,NA,2205000,2205000,NA,2205000,110250
2001,"CALIFORNIA",504709.662,"06",60.2,70.6,28.5,826478000,13728000,729863000,96615000,NA,3390000,10338000,10338002.8328612,3390000,13728870.4318937,686400
2001,"FLORIDA",59943.6,"12",99,99,NA,167310000,1690000,167310000,NA,NA,NA,1690000,1690000,NA,1690000,84500
2002,"CALIFORNIA",606640.7355,"06",57.9,60,31.9,931649000,16097000,793905000,137744000,NA,4318000,11779000,13231750,4317993.73040752,16090656.3039724,804850
2002,"FLORIDA",49533.4,"12",87.2,162,NA,153472000,1760000,153472000,NA,NA,NA,1760000,947358.024691358,NA,1760000,88000
2003,"CALIFORNIA",591784.972,"06",61.4,69.5,26.7,1172537000,19092000,1046646000,125891000,NA,4715000,14377000,15059654.676259,4715018.72659176,19096693.8110749,954600
2003,"FLORIDA",38731.68,"12",82.7,170,NA,129177000,1562000,129177000,NA,NA,NA,1562000,759864.705882353,NA,1561995.16324063,78100
2004,"CALIFORNIA",543612.378,"06",53.1,44.4,24.9,1040900000,19588000,922426000,118474000,NA,4758000,14830000,20775360.3603604,4757991.96787149,19602636.5348399,979400
2004,"FLORIDA",41619.758,"12",109,174,NA,177997000,1633000,177997000,NA,NA,NA,1633000,1022971.26436782,NA,1633000,81650
2005,"CALIFORNIA",597857.506,"06",54.6,54,27.8,1122834000,20580000,990645000,132189000,NA,4755000,15825000,18345277.7777778,4755000,20564725.2747253,1029000
2005,"FLORIDA",44734.684,"12",110,52.4,NA,196790000,1789000,196790000,NA,NA,NA,1789000,3755534.35114504,NA,1789000,89450
2006,"CALIFORNIA",603946.804,"06",56.7,59.8,26.5,1199341000,21163000,1076884000,122457000,NA,4621000,16542000,18008093.645485,4621018.86792453,21152398.5890653,1058150
2006,"FLORIDA",72222.108,"12",117,97.6,NA,239148000,2044000,239148000,NA,NA,NA,2044000,2450286.8852459,NA,2044000,102200
2007,"CALIFORNIA",602239.7,"06",65.5,64.2,25.5,1410652000,21540000,1298936000,111716000,NA,4381000,17159000,20232647.9750779,4381019.60784314,21536671.7557252,1077000
2007,"FLORIDA",76668.896,"12",124,88.7,NA,261888000,2112000,261888000,NA,NA,NA,2112000,2952514.09244645,NA,2112000,105600
2008,"CALIFORNIA",633062.666,"06",69.6,65.5,34.4,1578175000,22675000,1438167000,140008000,NA,4070000,22675000,21956748.0916031,4070000,22674928.1609195,1133750
2008,"FLORIDA",64537.6405,"12",139,203,NA,249366000,1794000,249366000,NA,NA,NA,1794000,1228403.9408867,NA,1794000,89700
2009,"CALIFORNIA",712517.724,"06",69.4,78.9,29.5,1725232000,24856000,1583160000,142072000,NA,4816000,24856000,20065399.2395437,4816000,24859250.7204611,1242800
2009,"FLORIDA",81573.6,"12",132,203.1,NA,313632000,2376000,313632000,NA,NA,NA,2376000,1544224.51994092,NA,2376000,118800
2010,"CALIFORNIA",740056.486,"06",70.1,66.9,27.8,1813557000,25859000,1674335000,139222000,NA,5008000,23063000,25027428.9985052,5007985.61151079,25870998.5734665,1292950
2010,"FLORIDA",66966.342,"12",187,NA,NA,362032000,1936000,362032000,NA,NA,NA,1440000,NA,NA,1936000,96800
2011,"CALIFORNIA",726381.106,"06",75.2,93.5,33.8,1943757000,25846000,1761778000,181979000,NA,5384000,20462000,18842545.4545455,5383994.08284024,25847832.4468085,1292300
2011,"FLORIDA",99062.778,"12",148,NA,NA,366300000,2475000,366300000,NA,NA,NA,2475000,NA,NA,2475000,123750
2012,"CALIFORNIA",771335.16,"06",77.1,94.4,32,2130637000,27646000,1947917000,182720000,NA,5710000,21936000,20634713.9830508,5710000,27634721.1413748,1382300
2012,"FLORIDA",100419.458,"12",110,NA,NA,244860000,2226000,244860000,NA,NA,NA,2226000,NA,NA,2226000,111300
2013,"CALIFORNIA",794999.136,"06",79.8,NA,34,2200729000,27573000,2024779000,175950000,NA,5175000,22398000,NA,5175000,27578057.6441103,1378650
2013,"FLORIDA",122320.04,"12",143,NA,NA,333476000,2332000,333476000,NA,NA,NA,2332000,NA,NA,2332000,116600
2014,"CALIFORNIA",776805.516,"06",88.4,87.6,41.5,2437918000,27592000,2.21e+09,227918000,NA,5492000,22100000,25228310.5022831,5492000,27578257.918552,1379600
2014,"FLORIDA",93347.094,"12",148,NA,NA,306508000,2071000,306508000,NA,NA,NA,2071000,NA,NA,2071000,103550
2015,"CALIFORNIA",760671.08,"06",67.7,73.9,45.8,1875483000,27697000,1596240000,279243000,NA,6097000,21600000,21600000,6097008.73362445,27702850.8124077,1384850
2015,"FLORIDA",116124.216,"12",119,119,NA,290598000,2442000,290598000,NA,NA,NA,2442000,2442000,NA,2442000,122100
2016,"CALIFORNIA",787313.94,"06",105,123,45.9,2849626000,27122000,2562053000,287573000,27094900,6075000,NA,20829699.1869919,6265206.97167756,27139295.2380952,1356100
2016,"FLORIDA",109957.388,"12",166,166,0,323285000,1947500,323285000,0,1947500,NA,NA,1947500,NA,1947500,97375
2017,"CALIFORNIA",824161.924,"06",103,123,35,2530903000,24574500,2336520000,194383000,24549900,NA,NA,18996097.5609756,5553800,24571873.7864078,1228725
2017,"FLORIDA",128664.1355,"12",140,NA,NA,299114000,2137500,NA,NA,2137500,NA,NA,NA,NA,2136528.57142857,106875
2018,"CALIFORNIA",897965.86,"06",90.9,104,42.2,2179066000,2.4e+07,1964352000,214714000,23976000,NA,NA,18888000,5088009.47867298,23972123.2123212,1200000
2018,"FLORIDA",118374.868,"12",115,115,0,243800000,2120000,243800000,0,2120000,NA,NA,2120000,NA,2120000,106000
2019,"CALIFORNIA",808243.9775,"06",110,NA,NA,2342148000,21300000,NA,NA,21278700,NA,NA,NA,NA,21292254.5454545,1065000
2019,"FLORIDA",101784.421,"12",152,NA,NA,407813000,2680000,NA,NA,2680000,NA,NA,NA,NA,2682980.26315789,134000
2020,"CALIFORNIA",840954.031,"06",93.1,NA,NA,2267175000,24400000,NA,NA,24351200,NA,NA,NA,NA,24352040.8163265,1220000
2020,"FLORIDA",118835.26,"12",139,NA,NA,324584000,2340000,NA,NA,2333000,NA,NA,NA,NA,2335136.69064748,117000
2021,"CALIFORNIA",851360.9,"06",125,NA,NA,3132279000,25100000,NA,NA,25024700,NA,NA,NA,NA,25058232,1255000
2021,"FLORIDA",118617.7,"12",160,NA,NA,451681000,2830000,NA,NA,2830000,NA,NA,NA,NA,2823006.25,141500
2022,"CALIFORNIA",868962.492,"06",108,NA,NA,2781768000,25700000,NA,NA,25674300,NA,NA,NA,NA,25757111.1111111,1285000
2022,"FLORIDA",126398.716,"12",169,NA,NA,477332000,2820000,NA,NA,2820000,NA,NA,NA,NA,2824449.70414201,141000
2023,"CALIFORNIA",879281.78,"06",121,NA,NA,3110040000,25800000,NA,NA,25774200,NA,NA,NA,NA,25702809.9173554,1290000
2023,"FLORIDA",134580.44,"12",147,NA,NA,433556000,2960000,NA,NA,2951200,NA,NA,NA,NA,2949360.54421769,148000
2024,"CALIFORNIA",985626.072,"06",119,NA,NA,3456522000,2.9e+07,NA,NA,28942000,NA,NA,NA,NA,29046403.3613445,1450000
2024,"FLORIDA",126836.56,"12",165,NA,NA,540341000,3320000,NA,NA,3283500,NA,NA,NA,NA,3274793.93939394,166000
